id1,id2,distancia,tiempo
0,0,0,0
0,6,8085,739
0,7,0,0
0,9,8774,765
0,10,0,0
0,11,0,0
0,12,6026,500
0,13,0,0
0,14,0,0
0,15,7671,675
0,16,9363,940
0,17,0,0
0,18,0,0
0,19,0,0
0,20,0,0
0,21,0,0
0,22,8745,886
0,23,6268,528
0,24,9317,938
0,26,8466,886
0,27,9439,817
0,29,4443,426
0,30,8745,886
0,31,0,0
0,32,15065,1381
0,33,10503,1319
0,34,8774,765
0,35,5533,565
0,36,9439,817
0,37,9439,817
0,38,4631,433
0,40,8466,886
0,41,15065,1381
0,42,8745,886
0,43,6573,693
0,44,6846,726
0,45,7671,675
0,47,9439,817
0,48,5533,565
0,49,8745,886
0,50,6573,693
0,51,7414,648
0,52,6026,500
0,53,11471,1465
0,54,9439,817
0,55,9317,938
0,56,9363,940
0,57,0,0
0,58,15353,1415
0,59,0,0
0,60,0,0
0,61,6688,598
0,62,8466,886
0,63,9363,940
0,64,7031,715
0,65,9317,938
0,66,5953,924
0,67,8745,886
0,68,8745,886
6,0,8511,911
6,6,0,0
6,7,8511,911
6,9,9968,860
6,10,8511,911
6,11,8511,911
6,12,7044,555
6,13,8511,911
6,14,8511,911
6,15,8865,770
6,16,7085,881
6,17,8511,911
6,18,8511,911
6,19,8511,911
6,20,8511,911
6,21,8511,911
6,22,6467,827
6,23,7462,624
6,24,1613,304
6,26,9660,981
6,27,3131,356
6,29,5462,482
6,30,6467,827
6,31,8511,911
6,32,16259,1477
6,33,7398,873
6,34,9968,860
6,35,6727,661
6,36,3131,356
6,37,3131,356
6,38,3460,306
6,40,9660,981
6,41,16259,1477
6,42,6467,827
6,43,3421,390
6,44,3694,423
6,45,8865,770
6,47,3131,356
6,48,6727,661
6,49,6467,827
6,50,3421,390
6,51,8608,743
6,52,7044,555
6,53,8366,1019
6,54,3131,356
6,55,1613,304
6,56,7085,881
6,57,8511,911
6,58,16547,1510
6,59,8511,911
6,60,8511,911
6,61,7882,693
6,62,9660,981
6,63,7085,881
6,64,8225,811
6,65,1613,304
6,66,6403,832
6,67,6467,827
6,68,6467,827
7,0,0,0
7,6,8085,739
7,7,0,0
7,9,8774,765
7,10,0,0
7,11,0,0
7,12,6026,500
7,13,0,0
7,14,0,0
7,15,7671,675
7,16,9363,940
7,17,0,0
7,18,0,0
7,19,0,0
7,20,0,0
7,21,0,0
7,22,8745,886
7,23,6268,528
7,24,9317,938
7,26,8466,886
7,27,9439,817
7,29,4443,426
7,30,8745,886
7,31,0,0
7,32,15065,1381
7,33,10503,1319
7,34,8774,765
7,35,5533,565
7,36,9439,817
7,37,9439,817
7,38,4631,433
7,40,8466,886
7,41,15065,1381
7,42,8745,886
7,43,6573,693
7,44,6846,726
7,45,7671,675
7,47,9439,817
7,48,5533,565
7,49,8745,886
7,50,6573,693
7,51,7414,648
7,52,6026,500
7,53,11471,1465
7,54,9439,817
7,55,9317,938
7,56,9363,940
7,57,0,0
7,58,15353,1415
7,59,0,0
7,60,0,0
7,61,6688,598
7,62,8466,886
7,63,9363,940
7,64,7031,715
7,65,9317,938
7,66,5953,924
7,67,8745,886
7,68,8745,886
9,0,9200,942
9,6,9946,854
9,7,9200,942
9,9,0,0
9,10,9200,942
9,11,9200,942
9,12,7888,616
9,13,9200,942
9,14,9200,942
9,15,5079,479
9,16,11079,1011
9,17,9200,942
9,18,9200,942
9,19,9200,942
9,20,9200,942
9,21,9200,942
9,22,10461,957
9,23,2506,241
9,24,11178,1054
9,26,4197,548
9,27,11286,818
9,29,6305,542
9,30,10461,957
9,31,9200,942
9,32,6291,616
9,33,21091,1138
9,34,0,0
9,35,3924,449
9,36,11286,818
9,37,11286,818
9,38,6493,549
9,40,4197,548
9,41,6291,616
9,42,10461,957
9,43,8435,809
9,44,8708,842
9,45,5079,479
9,47,11286,818
9,48,3924,449
9,49,10461,957
9,50,8435,809
9,51,9130,719
9,52,7888,616
9,53,22059,1284
9,54,11286,818
9,55,11178,1054
9,56,11079,1011
9,57,9200,942
9,58,6579,650
9,59,9200,942
9,60,9200,942
9,61,8404,669
9,62,4197,548
9,63,11079,1011
9,64,4308,556
9,65,11178,1054
9,66,21092,1174
9,67,10461,957
9,68,10461,957
10,0,0,0
10,6,8085,739
10,7,0,0
10,9,8774,765
10,10,0,0
10,11,0,0
10,12,6026,500
10,13,0,0
10,14,0,0
10,15,7671,675
10,16,9363,940
10,17,0,0
10,18,0,0
10,19,0,0
10,20,0,0
10,21,0,0
10,22,8745,886
10,23,6268,528
10,24,9317,938
10,26,8466,886
10,27,9439,817
10,29,4443,426
10,30,8745,886
10,31,0,0
10,32,15065,1381
10,33,10503,1319
10,34,8774,765
10,35,5533,565
10,36,9439,817
10,37,9439,817
10,38,4631,433
10,40,8466,886
10,41,15065,1381
10,42,8745,886
10,43,6573,693
10,44,6846,726
10,45,7671,675
10,47,9439,817
10,48,5533,565
10,49,8745,886
10,50,6573,693
10,51,7414,648
10,52,6026,500
10,53,11471,1465
10,54,9439,817
10,55,9317,938
10,56,9363,940
10,57,0,0
10,58,15353,1415
10,59,0,0
10,60,0,0
10,61,6688,598
10,62,8466,886
10,63,9363,940
10,64,7031,715
10,65,9317,938
10,66,5953,924
10,67,8745,886
10,68,8745,886
11,0,0,0
11,6,8085,739
11,7,0,0
11,9,8774,765
11,10,0,0
11,11,0,0
11,12,6026,500
11,13,0,0
11,14,0,0
11,15,7671,675
11,16,9363,940
11,17,0,0
11,18,0,0
11,19,0,0
11,20,0,0
11,21,0,0
11,22,8745,886
11,23,6268,528
11,24,9317,938
11,26,8466,886
11,27,9439,817
11,29,4443,426
11,30,8745,886
11,31,0,0
11,32,15065,1381
11,33,10503,1319
11,34,8774,765
11,35,5533,565
11,36,9439,817
11,37,9439,817
11,38,4631,433
11,40,8466,886
11,41,15065,1381
11,42,8745,886
11,43,6573,693
11,44,6846,726
11,45,7671,675
11,47,9439,817
11,48,5533,565
11,49,8745,886
11,50,6573,693
11,51,7414,648
11,52,6026,500
11,53,11471,1465
11,54,9439,817
11,55,9317,938
11,56,9363,940
11,57,0,0
11,58,15353,1415
11,59,0,0
11,60,0,0
11,61,6688,598
11,62,8466,886
11,63,9363,940
11,64,7031,715
11,65,9317,938
11,66,5953,924
11,67,8745,886
11,68,8745,886
12,0,6445,662
12,6,7037,546
12,7,6445,662
12,9,7902,612
12,10,6445,662
12,11,6445,662
12,12,0,0
12,13,6445,662
12,14,6445,662
12,15,6799,521
12,16,5346,622
12,17,6445,662
12,18,6445,662
12,19,6445,662
12,20,6445,662
12,21,6445,662
12,22,4729,568
12,23,5396,375
12,24,3291,439
12,26,7594,732
12,27,3413,317
12,29,1635,94
12,30,4729,568
12,31,6445,662
12,32,14193,1228
12,33,9363,995
12,34,7902,612
12,35,4661,412
12,36,3413,317
12,37,3413,317
12,38,3584,240
12,40,7594,732
12,41,14193,1228
12,42,4729,568
12,43,5525,500
12,44,5799,533
12,45,6799,521
12,47,3413,317
12,48,4661,412
12,49,4729,568
12,50,5525,500
12,51,6542,494
12,52,0,0
12,53,10331,1141
12,54,3413,317
12,55,3291,439
